UTM_X,UTM_Y,sqft_lot,grade,condition,waterfront,view,age,bathrooms,sqft_living,log_price
552217.5570349949,5274944.781420565,4600,8,3,0,0,109,3,2660,6.091315159697223
565692.4843306735,5272758.058947301,8736,7,4,0,0,57,2.25,2530,5.790988475088816
562451.6615086263,5245291.26821495,13464,7,4,0,0,28,2,1390,5.315130317183602
546816.9356179276,5264406.872067376,4264,7,5,0,0,66,1,940,5.619093330626742
564343.1953517292,5244978.220457739,7225,8,3,0,0,36,2.25,2070,5.477121254719663
563417.2998755701,5246790.949875317,12040,7,4,0,0,56,1.5,1440,5.403977963669354
546320.3562870994,5270071.242648842,6250,7,5,0,0,75,4,2290,5.820368312147474
566646.0847633905,5274825.186409215,4680,9,3,0,0,41,2,2410,5.672097857935717
552811.4417144239,5259100.781197117,9488,7,5,0,0,74,1,1200,5.364550995353972
557403.190502118,5290043.244418311,9848,7,3,0,0,52,1.5,1170,5.3979400086720375
550027.6752233168,5258642.879123138,8853,6,3,0,0,72,1,740,5.362670929725667
561990.9972031884,5267382.369775408,7875,8,5,0,0,46,1.75,1520,5.720159303405957
553438.5695855451,5281080.08916251,5096,10,3,0,0,6,3,2640,5.959041392321094
562483.4495793538,5249403.982934636,7500,7,4,0,0,38,2.25,2090,5.459392487759231
553482.2122079195,5268131.853988363,3000,7,3,0,0,106,2.5,2160,5.578352641510361
548109.97866887,5290058.736020398,6500,6,4,0,0,62,1,800,5.469822015978163
561392.0393229392,5259929.137700676,7854,7,4,0,0,35,1,970,5.419129307741976
556077.712750477,5287607.195265416,9711,7,3,0,0,59,1.5,1440,5.653212513775344
554311.4825218094,5284055.848204034,7050,8,3,0,3,87,3.5,3070,5.929418925714293
557476.9855318866,5259689.329845452,9900,7,3,0,0,50,2.25,2600,5.431363764158987
549035.3004925102,5278084.795261028,3200,7,5,0,0,92,2.5,2170,5.731588765186738
559226.0190048534,5272933.319239629,15408,11,3,0,1,9,4.25,5540,6.4107772333772095
562784.4687270061,5249484.994806268,7326,7,5,0,0,36,2.25,1840,5.505136406405284
550283.7398321732,5290010.487887544,8400,7,5,0,0,59,2,1820,5.578581911401869
553449.5980528669,5279879.790719744,5025,8,4,0,0,87,1.75,1390,5.836640541572774
549987.7228965585,5289574.44876734,8000,7,4,0,0,55,1.75,1890,5.574031267727719
549988.5849741182,5289474.422399311,8270,7,5,0,0,53,2.25,1940,5.724275869600789
